dbn,the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,longitude,latitude
1026706,POINT (-73.99122081783712 40.764934618394804),Columbus,10th Avenue,742,New York,10019,http://www.nypl.org/locations/columbus,1026706,1010600063,986681.927867,217963.17698400002,NYPL,1,-73.99122081783712,40.764934618394804
1058275,POINT (-73.94116092350963 40.81483582138157),Countee Cullen,West 136th Street,104,New York,10030,http://www.nypl.org/locations/countee-cullen,1058275,1019200026,1000536.84375,236149.25,NYPL,1,-73.94116092350963,40.81483582138157
5022895,POINT (-74.1011372893581 40.59039133599787),Dongan Hills,Richmond Road,1617,Staten Island,10304,http://www.nypl.org/locations/dongan-hills,5022895,5008830008,956160.468897,154388.115158,NYPL,5,-74.1011372893581,40.59039133599787
2061767,POINT (-73.84506427532864 40.87013970297055),Eastchester,East Gun Hill Road,1385,Bronx,10469,http://www.nypl.org/locations/eastchester,2061767,2047620022,1027101.0442100001,256330.955892,NYPL,2,-73.84506427532864,40.87013970297055
2066596,POINT (-73.84083712785493 40.88889489584642),Edenwald,East 233rd Street,1255,Bronx,10466,http://www.nypl.org/locations/edenwald,2066596,2049560001,1028257.7420200001,263166.30606599996,NYPL,2,-73.84083712785493,40.88889489584642
1019661,POINT (-73.98204888964264 40.738087120390595),Epiphany,East 23rd Street,228,New York,10010,http://www.nypl.org/locations/epiphany,1019661,1009030046,989224.6550649999,208182.154224,NYPL,1,-73.98204888964264,40.738087120390595
1063632,POINT (-73.93386591312449 40.847870041168214),Fort Washington,West 179th Street,535,New York,10033,http://www.nypl.org/locations/fort-washington,1063632,1021530053,1002547.03885,248186.270081,NYPL,1,-73.93386591312449,40.847870041168214
2014579,POINT (-73.90931635032427 40.85742189422779),Francis Martin,University Avenue,2150,Bronx,10453,http://www.nypl.org/locations/francis-martin,2014579,2032110005,1009335.45802,251672.45241300002,NYPL,2,-73.90931635032427,40.85742189422779
1059688,POINT (-73.95705320654999 40.813768964572695),George Bruce,West 125th Street,518,New York,10027,http://www.nypl.org/locations/george-bruce,1059688,1019800022,996138.0,235758.0,NYPL,1,-73.95705320654999,40.813768964572695
1036206,POINT (-73.97356771683344 40.754067875550625),Grand Central,East 46th Street,135,New York,10017,http://www.nypl.org/locations/grand-central,1036206,1013010023,991573.221234,214005.050058,NYPL,1,-73.97356771683344,40.754067875550625
2007870,POINT (-73.91008714449384 40.844001911750446),Grand Concourse,East 173rd Street,155,Bronx,10457,http://www.nypl.org/locations/grand-concourse,2007870,2028240034,1009127.25502,246782.825054,NYPL,2,-73.91008714449384,40.844001911750446
5070285,POINT (-74.15111164313684 40.55242326280796),Great Kills,Giffords Lane,56,Staten Island,10308,http://www.nypl.org/locations/great-kills,5070285,5054360019,942256.908778,140575.41509300002,NYPL,5,-74.15111164313684,40.55242326280796
1004070,POINT (-73.97942314417445 40.71978015438276),Hamilton Fish Park,East Houston Street,415,New York,10002,http://www.nypl.org/locations/hamilton-fish-park,1004070,1003350001,989953.874634,201512.516602,NYPL,1,-73.97942314417445,40.71978015438276
1061938,POINT (-73.94803241890192 40.82567237379984),Hamilton Grange,West 145th Street,503,New York,10031,http://www.nypl.org/locations/hamilton-grange,1061938,1020770026,998632.449898,240096.19406999997,NYPL,1,-73.94803241890192,40.82567237379984
1053460,POINT (-73.94331559838257 40.80616044207548),Harlem,West 124th Street,9,New York,10027,http://www.nypl.org/locations/harlem,1053460,1017220030,999942.468275,232988.107892,NYPL,1,-73.94331559838257,40.80616044207548
2003163,POINT (-73.92355090156951 40.837960016855035),High Bridge,West 168th Street,78,Bronx,10452,http://www.nypl.org/locations/high-bridge,2003163,2025100027,1005404.0,244578.0,NYPL,2,-73.92355090156951,40.837960016855035
1009760,POINT (-74.00533101445356 40.72998291458653),Hudson Park,Leroy Street,66,New York,10014,http://www.nypl.org/locations/hudson-park,1009760,1005820018,982772.4766959999,205229.07285899998,NYPL,1,-74.00533101445356,40.72998291458653
5083401,POINT (-74.19322900650182 40.534078493080344),Huguenot Park,Huguenot Avenue,830,Staten Island,10312,http://www.nypl.org/locations/huguenot-park,5083401,5068170001,930538.0,133915.0,NYPL,5,-74.19322900650182,40.534078493080344
2005755,POINT (-73.89413216580388 40.818670087188615),Hunts Point,Southern Boulevard,877,Bronx,10459,http://www.nypl.org/locations/hunts-point,2005755,2027220063,1013552.8604100001,237558.447998,NYPL,2,-73.89413216580388,40.818670087188615
